id,text,,Date,label,Comments
533555,"Microsoft, Signaling Concessions, Averts Suits for Now --- Windows Release Is Delayed Until Monday as Gates Talks to Antitrust Chief",474089,1998/5/15,Y,
533556,Why We Now Need A National Association For Data Destruction --- Paper-Shredding Firms Thrive As Businesses Guard Secrets; Enron Isn't the Half of It,659773,2002/1/30,Y,
533557,"Frequent Flier Flip-Flop --- Airlines Raise Bar on Upgrades, Freebies for Top Travelers; Says One, `I Feel Betrayed'",524975,2002/2/1,,
533558,Boston Scientific Files A Counter Lawsuit Against Medinol Ltd.,552459,2001/5/1,Y,
533559,"U.S. Warns Apple, Publishers --- Justice Department Threatens Lawsuits, Alleging Collusion Over E-Book Pricing",921746,2012/3/8,Y,
533560,"U.S. News: Arrests at Southern Border Plummet --- Decline comes amid threat of Trump's wall, Mexico's emergence as draw for migrants",184855,2017/5/10,,
533561,"Judge Orders Urgent Talks On Microsoft --- In Aftermath of Attacks, Fast Settlement Is Seen As Benefitting Economy",473734,2001/10/1,Y,
533562,"Global Finance: Settlement Reached in Student-Loan Case --- Sallie Mae, Navient Agree to Pay $97 Million to U.S. Over Allegations They Overcharged Members of Military Service",76824,2014/5/14,Y,
533563,Biogen Settles Kickback Probe,349132,2022/9/27,Y,
533564,Probe at Syncor Puts Sale in Peril --- Cardinal Health Uncovered Possibly Illegal Payments By Officials of Target Firm,515692,2002/11/7,Y,
533565,"Corporate Reform: The First Year: Boardrooms Under Renovation; Scandals Prompted Changes, But Critics Say More Are Needed To Prevent Another Enron",572779,2003/7/22,Y,
533566,Corporate News: Yahoo Passwords Stolen In Latest Data Breach,36574,2012/7/13,Y,
533567,"U.S. News: Tech Companies Lose Bipartisan Cover --- Trump tweets concern about Google in China, as online giants brace for antitrust review",243273,2019/7/27,Y,
533568,EXCHANGE --- Citi Fined for Misconduct in Hong Kong,324174,2022/1/29,Y,
533569,ConocoPhillips: Federal Judge Awards Company $9 Million in Patent Lawsuit,707794,2005/4/4,Y,
533570,DuPont Dow Elastomers LLC: Price-Fixing Case to Be Settled As U.S. Cartel Probes Continue,678522,2005/1/20,Y,
533571,"Moving the Market -- Tracking the Numbers / Street Sleuth: AIG, Officials in Settlement Talks; SEC, New York Authorities Are in Early Stages of Talks; Seeking a 'Global' Accord",724382,2005/7/11,Y,
533572,Intel Rebuts Case Made by AMD In Antitrust Suit,616928,2005/9/2,Y,
533573,"The Microsoft Settlement: Antitrust Litigation Takes Toll on Microsoft --- Fallout From Suit Includes Low Morale, Executive Departures",554673,2001/11/5,Y,
533574,Business Brief -- Broadcom Corp.: Settlement Is Reached In Birth-Defects Lawsuit,510609,2001/1/24,Y,
533575,Judge to Citi and SEC: Explain Your Settlement,917288,2011/10/28,Y,
533576,J.P. Morgan Settles Its Madoff Tab --- Bank Will Pay $2.6 Billion to Resolve Allegations It Failed to Alert Authorities About Ponzi Scheme,74858,2014/1/8,Y,
533577,Constellation Energy Group: Unit Fined $7 Million On Release Violations,721797,2008/3/12,Y,
533578,"Corporate News: Airlines Push Early Trial Start --- AMR, US Airways Tell Court That a Delayed Antitrust Date Will Jeopardize Merger",41094,2013/8/30,Y,
533579,Corporate News: Intel to Get EU Antitrust Fine,788884,2009/5/11,Y,
533580,Bank of America Files Lawsuit Against Three Former Brokers,545997,2003/6/2,Y,
533581,"EchoStar Readies Bid for GM's Hughes --- Offer Would Threaten Talks With News Corp., Pose Thorny Antitrust Issues",455635,2001/5/24,Y,
533582,"Corporate News: Visteon's Risk for Bankruptcy Deepens --- Auto-Parts Maker Reports Broader Quarterly Loss, Warns It Could Violate Debt Agreements",824642,2009/2/26,Y,
533583,A Scheme Ends -- 12 Years Later; Morgan Stanley Faces Questions About How an Alleged Fraud Went Uncovered for So Long,577972,2004/3/3,Y,
533584,U.S. News: 3M Seeks Deal in Wide-Ranging Pollution Suit,356197,2023/6/5,Y,
533585,Why Not? Judge's Query Spawns Scenarios for Ending Of the Microsoft Case --- His Idea -- Let the Buyer Pick The Software -- Suggests A Middle-Ground Result --- Circling Around a Settlement,411191,1999/5/17,Y,
533586,"Home Depot Lawsuit Claims Visa, MasterCard Fix Prices",182931,2016/6/16,Y,
533587,Wynn Resorts to Settle Sex-Misconduct Probe,238618,2019/1/29,Y,
533588,Amazon.com Unit Reaches Settlement In Privacy Lawsuit,639324,2001/4/30,Y,
533589,Goldman Faces New CDO Lawsuit,881291,2010/11/10,Y,
533590,Law Journal: Lawyer Hits Antitrust Jackpot --- Dechert Partner Paul Denis Works on Office Depot and American Airlines Cases,101957,2013/12/30,Y,
533591,"Home Depot Breach Tops Target's --- Five-Month Cyber Attack Put 56 Million Cards at Risk; Malware, Now Halted, Was 'Custom Built'",97976,2014/9/19,Y,
533592,BJ's Wholesale Club Inc.: Settlement Is Reached With FTC Over Theft of Customer Data,641542,2005/6/17,Y,
533593,States Review Morgan Stanley Settlement,703185,2007/1/4,Y,
533594,McKesson to Pay $960 Million To Settle Lawsuit,595721,2005/1/13,Y,
533595,Software Firm Be Sues Microsoft In Antitrust Case,535648,2002/2/20,Y,
533596,"Coca-Cola, EU Agree to Settle Antitrust Case; Company to End Discounts For European Retailers, Share More Display Space",634309,2004/10/20,Y,
533597,"Corporate News: Brazil Charges Chevron --- Oil Giant, Transocean and Executives Accused of Environmental Crimes in Leak",924862,2012/3/22,Y,
533598,"Parsing the Settlement at Citi --- To Bolster Lawsuits, Stockholders and Bondholders Ask: Was Fraud Involved?",846840,2010/8/2,Y,
533599,Best Buy Co.: Former Employees File Suit Alleging Age Discrimination,680838,2004/11/18,Y,
533600,Corporate News: Dell Indicates SEC Settlement Is on Track,846201,2010/7/17,Y,
533601,Leading the News: Dynegy to Pay $3 Million Fine To Settle SEC Civile-Fraud Case,535953,2002/9/25,Y,
533602,FTC Likely to Approve Settlement With Intel Struck by Its Staffers,412913,1999/3/17,Y,
533603,Pfizer to Settle Medicaid-Fraud Case; Drug Maker Agrees to Pay About $430 Million in Fines Over Neurontin Marketing,664386,2004/5/13,Y,
533604,Corporate News: U.S. Opens Inquiry Into Monsanto --- Antitrust Enforcers Probe Business Practices Surrounding Biotech Soybean Seed,806245,2010/1/15,Y,
533605,Intel Files Lawsuit Against Intergraph And Rebuts FTC,534633,1998/6/22,Y,
533606,TXU Corp.: Wrongful-Termination Lawsuit Settled With Former Executive,631704,2005/6/13,Y,
533607,Intel Sues an Insurer Over Litigation Costs,829605,2009/2/2,Y,
533608,Corporate News: IBM May Bid for Government Contracts After EPA Lifts Ban; Company Admits Workers Violated Procurement Law,715841,2008/4/5,Y,
533609,"Icahn's Next Target: Clorox --- Bid of $10.2 Billion Seeks to Draw Suitors, but Antitrust Limits Options",895949,2011/7/16,,
533610,"Mattel 4th-Period Net Rose 33% On Higher Sales, Tax Settlement",604637,2005/2/1,,
533611,Rite Aid to Settle Lawsuit and Lift Ban on Brokers,468485,2000/6/19,Y,
533612,A Settlement For Lehman And SocGen,852561,2010/9/22,Y,
533613,Nationwide Agrees To Settle Lawsuit By Policyholders,402427,1998/9/8,Y,
533614,Deals &amp; Deal Makers -- Moving on From Copper Scandal: J.P. Morgan's Tab Is $125 Million,563103,2002/4/2,Y,
533615,"Oil Giants Launch Bribe Probes --- Eni, Chevron, BG Group Investigating Whistleblower's Allegations of Payments to Kazakh Officials",14185,2012/6/7,Y,
533616,"Goldman Suspended 1MDB-Tied Banker, Citing Policy Breach",171744,2016/3/8,Y,
533617,Business Brief -- PepsiCo Inc.: Quaker Oats Purchase Passes Mexico's Antitrust Review,635099,2001/4/18,Y,
533618,U.S. News: Jeff Bezos Sued by Girlfriend's Brother --- Michael Sanchez says Amazon.com founder spread false rumor he leaked nude photos,290334,2020/2/3,Y,
533619,"Williams Cos., California Settle Claims of Illegal Energy Pricing",610965,2002/11/12,Y,
533620,"Microsoft Reaches Tentative Antitrust Pact --- U.S. Will Drop Some Limits On Monopoly, Require Little Windows Change",485322,2001/11/1,Y,
533621,Woman Charged With Extorting Yankees GM Cashman,917999,2012/2/3,Y,
533622,Microsoft Asks Court To Dismiss 62 Private Antitrust Lawsuits,562313,2000/8/3,Y,
533623,"Bank of America's Profit Rises 11%; Results Reflect Settlement Of Probe, Securities Gain; Mortgage Slowdown Hurts",630025,2004/4/15,,
533624,Apple's App Store Finds Adversaries Everywhere --- Companies from Facebook to Epic Games to Spotify say tech giant wields monopoly power,295064,2020/9/28,Y,
533625,"Global Finance: Many Retailers Balk at Card-Fee Settlement --- Merchants in Class-Action Suit Against Visa, MasterCard Say Pact Won't Prevent Charges From Continuing to Increase",29338,2012/10/12,Y,
533626,U.S. Joins With Another Whistleblower In a Lawsuit Against Columbia/HCA,406247,1999/4/12,Y,
533627,Vioxx Jury Holds Merck Liable for Heart Attack; Split Verdict Awards One Of Two Men $4.5 Million; Consumer Fraud Is Found,667721,2006/4/6,Y,
533628,Corporate News: Microsoft Claims Samsung Violated Patent Agreement,92970,2014/8/2,Y,
533629,BellSouth Rises on Acquisition Offer; Major Stock Indexes Decline On Interest-Rate Concerns; RIM Leaps After Settlement,654591,2006/3/7,Y,
533630,Author of Antitrust Law Says Microsoft Failed to Comply With Lobbying Curbs,502888,2002/1/25,Y,
533631,"Altria Soars, Doubters Say: 'D'oh!'; Litigation Scared Some Investors But Shares Are Up 32% This Year; Not a Stock for the Fainthearted",662019,2005/12/16,Y,
533632,"What They Know: A Wall Street Journal Investigation: Facebook in Privacy Breach --- Top-Ranked Applications Transmit Personal IDs, a Journal Investigation Finds",855386,2010/10/18,Y,
533633,Apple Rumor Site to Close as Part of Deal; Firm Still Won't Know Who Leaked Secrets; Is It a Victory for Jobs?,778636,2007/12/21,Y,
533634,Corporate News: Behind Google's Antitrust Escape,7242,2013/1/5,Y,
533635,"Google Inc.: 'Click Fraud' Lawsuit Brings A $75,000 Court Judgment",642459,2005/7/6,Y,
533636,"D.C. Sues Amazon, Alleging Monopoly That Raises Prices",286345,2021/5/26,Y,
533637,Hostile Nations Arrest Americans to Sway the U.S. --- Travelers face heightened risk in countries covering nearly 25% of world population; a growing tactic in geopolitical struggle,378781,2023/12/28,Y,
533638,Citi Adds Billions to Penalty Funds --- Cash Set Aside for Legal Costs Is Another Setback in a Year of Troubles; Shooting for 'a Clean 2015',123260,2014/12/10,Y,
533639,Apple CEO Urges Action on Data Misuse --- Tim Cook calls for more protection against 'weaponized' personal information,236017,2018/10/25,,
533640,FleetBoston Ex-Workers Charged; Improper Trading Alleged; Bank of America Wraps Up Other Regulatory Cases,736381,2005/2/10,Y,
533641,Citigroup Is Set To Pay Women To Settle Lawsuit,806201,2008/4/4,Y,
533642,Europe Puts Oracle on Notice To Defend Bid for PeopleSoft; Antitrust Regulators Send List of Objections; Ruling Is Likely Ahead of U.S. Trial,648150,2004/3/15,Y,
533643,Former Officer Fined In Nvidia Fraud Case,648865,2003/9/12,Y,
533644,Coca-Cola Is Ordered To Yield Documents In Discrimination Case,423628,1999/11/22,Y,
533645,Amazon Hit by German Antitrust Probe --- Regulator examining practices of retailer's marketplace open to third-party sellers,237758,2018/11/30,Y,
533646,Goldman's Ties to 1MDB Fund Run Deep --- Bank courted Malaysian state entity at heart of global fraud probes,181760,2016/12/22,Y,
533647,U.S. Sues Google as Monopoly --- Complaint targets an exclusive tie with Apple making search engine the default on iPhones,297860,2020/10/21,Y,
533648,Two Men Plead Guilty To Fraud in Auction Of Painting on eBay,520956,2001/4/18,Y,
533649,"Banking &amp; Finance: New Wells Fargo Chief Has a Full Plate --- Scharf faces lingering effects of accounts scandal, falling revenue, other issues",272438,2019/10/22,Y,
533650,Letters to the Editor -- Antitrust Precedent: Viacom/Time Warner,539926,1998/6/8,Y,
533651,GPU Reverses Part Of 2nd-Period Charge Because of Settlement,409092,1998/9/28,Y,
533652,Banks Restart Foreclosures --- BofA and GMAC Lift Their Freeze in a Counterattack Against Allegations of Fraud,878044,2010/10/19,Y,
533653,Qualcomm Loses Antitrust Ruling,253867,2019/5/23,Y,
533654,McDonald's Obesity Suit Dismissed --- Ruling Allows Plaintiffs 30 Days to Amend Filing To Support Deception Claim,650557,2003/1/23,Y,
533655,Enron Criminal Probe Focuses On Alleged Corruption Abroad,514013,2002/8/5,Y,
533656,"Ex-Citigroup Banker, SEC Settle Case; Accused of Insider Trading, Retired Vice Chairman Agrees to $2.7 Million Fine",724182,2006/2/1,Y,
533657,Business Brief -- Morgan Stanley: Settlement Talks Break Down Over Discrimination Lawsuit,553043,2003/3/14,Y,
533658,Waste Management Settles Allegations Of Discrimination,406975,1999/5/4,Y,
533659,World News: Chinese Tainting Scandal Pulls Milk off Shelves; Government Weighs A Broad Recall; Move by Starbucks,793675,2008/9/20,Y,
533660,Southern Exposure: How Two Women Helped Unravel A Lending Empire; A Retired Maid's Questions About Her ATM Card Led Lawyer to Georgia Scandal; Investors' Missing $30 Million,644584,2004/11/11,Y,
533661,Microsoft's Talks With U.S. Accelerate --- Gulf Reportedly Narrows; Outlines of Settlement Could Be Within Reach,428052,2000/3/23,Y,
533662,Global Finance: EU Hits MasterCard With Antitrust Charges --- The European bloc is accusing the company of artificially raising cost of card payments,126296,2015/7/10,Y,
533663,Exxon and Mobil Get Antitrust Approval In Europe for Their Planned Merger,461338,1999/9/30,,
533664,"Amid Scandals, Dan Snyder Makes a Progressive Pivot --- The owner of the Washington Football Team speaks out on his bid to fix a franchise plagued by internal problems",299222,2021/6/30,Y,
533665,Home &amp; Family: Wide Credit-Card Fraud Surfaces in TJX Hacking,812754,2007/1/25,Y,
533666,"MCI, Sprint Could Pass Antitrust Test --- Deal Might Win Approval If the Companies Agree To Sell Certain Assets",501026,1999/9/27,Y,
533667,Telecommunications Brief -- Sprint Corp.: Horizon PCS Affiliate Expects To Violate Credit Agreement,535420,2003/4/1,Y,
533668,Freddie Mac Accused by EEOC Of Discrimination Against Blacks,405017,1998/9/3,Y,
533669,Cendant Dismisses a Senior Finance Aide --- Ex-CUC Executive Denies Knowing Irregularities Existed in Accounting,369357,1998/4/20,Y,
533670,Technology Brief -- Microsoft Corp.: Licensing Changes Are Made To Comply With Settlement,550095,2003/8/4,Y,
533671,"Boeing to Name 3M's McNerney As Its New Chief; After Series of Scandals, Aerospace Giant Selects Outsider to Help Fix Image",640993,2005/6/30,Y,
533672,Exxon Resists Asset Write-Downs --- Critics say company is deceiving investors by not slashing value of large XTO acquisition,278594,2020/7/1,Y,
533673,Asarco Files Lawsuit Against Phelps Dodge To Halt Hostile Bid,436638,1999/9/21,Y,
533674,"U.S. News: Bank of America in Settlement Worth Over $8 Billion; Up to 390,000 Borrowers Covered in Deal With State Attorneys General Over Risky Loans Originated by Countrywide Financial",834974,2008/10/6,Y,
533675,World News: Protests in Pakistan Turn Deadly --- Nationwide political standoff widens after arrest of ex-premier on corruption charges,377021,2023/5/11,,
533676,"Dentists Sue Aetna, Alleging Libel, Breach of Contract and Interference",481597,2001/8/17,Y,
533677,"Deals &amp; Deal Makers: Kellogg, Ex-Spear Leeds Partner, Faces NASD Fraud Accusations",567566,2003/11/6,Y,
533678,World News: Brazil Pushes Development In Rainforest --- Environment chief says opportunity will save Amazon from illegal logging and farming,256416,2019/9/7,,
533679,Corporate News: Judge Cuts Penalty Award Against Boston Scientific,758421,2008/9/2,Y,
533680,Leader in TJX Fraud Gets 5-Year Sentence; Penalty Is Stiffest Handed Down Yet Over Theft of Data,736889,2007/9/14,Y,
533681,"In East Java, A Scientist Tackles Deadly Mud Flow; Engineers Drop the Ball, And Hope It Helps Stanch Volcano's Stubborn Leak",721219,2007/2/28,,
533682,"MetLife Firms Are Fined by NASD; Regulator Had Alleged Late Mutual-Fund Trades, Improper Response to Probe",668219,2006/9/20,Y,
533683,Earnings Digest -- Medical: Medtronic Net Falls 89% on Charges; Effect of Product Recall Might Be Blunted By Production Shift,729779,2008/2/20,Y,
533684,"Executives on Trial: Enron Ex-Official Pleads Guilty To Fraud, Agrees to Aid Probe",565672,2004/8/2,Y,
533685,High Court Backs Facebook Settlement,41877,2013/11/5,Y,
533686,MetLife Unit Reaches Tentative Settlement On Policyholder Suits,434339,2000/5/22,Y,
533687,Boston Scientific Says It Booked Sales of Equipment Improperly,455251,1998/11/4,Y,
533688,Hewlett-Packard Shares Retain Luster Despite a Board Tarnished by Scandal,742912,2006/9/28,Y,
533689,Citigroup Faces Lawsuit Over Its Pension Plan,755257,2005/2/7,Y,
533690,Tobacco Brief -- Altria Group Inc.: Oregon Appeals Court Upholds Lawsuit Award of $80 Million,570238,2004/6/10,Y,
533691,CA Investors Weigh Plan on Scandal-Tainted Pay,687248,2004/8/25,Y,
533692,GM Close to Criminal Settlement,136544,2015/9/17,Y,
533693,"Firms Close In On Settlement Of IPO Inquiry; Goldman Sachs, Morgan Stanley Agree to Pay $40 Million Each After Accusations of 'Laddering'",712010,2004/6/22,Y,
533694,Tribune Co.: Arbiter Says Paper's Sale Violated Union Contract,739177,2007/4/10,Y,
533695,"Newspapers Face Antitrust Scrutiny; Probes Into Purchase Plans Of Gannett, New York Times Signal Consolidation Worry",590724,2005/1/24,Y,
533696,"EXCHANGE --- Finance -- Mary Ann Liegey to Citi: I'm No Terrorist --- A rule designed to stop terrorists, money launderers and other criminals has caused banks to close accounts of some law-abiding customers",218991,2018/7/14,Y,
533697,Business News: Judge Approves Settlement Allowing CVS-Aetna Merger,256228,2019/9/5,Y,
533698,Politics &amp; Economics: Chevron Settlement Highlights U.S. Focus on Iraq-Oil Kickbacks,783184,2007/5/9,Y,
533699,Court Dismisses Owens Corning Tobacco Lawsuit,471421,2001/5/25,Y,
533700,FBI Arrests 8 in McDonald's Game Fraud,491735,2001/8/22,Y,
533701,Corporate News: FTC Penalizes Google --- Settlement Over Buzz Data Sharing Includes Privacy Audits,875638,2011/3/31,Y,
533702,Assessing Microsoft's Options in a High-Stakes Antitrust Endgame,427890,1999/11/10,Y,
533703,U.S. News: Facebook Pulls More Deceptive Accounts Tied to Russian Group,275761,2020/9/2,Y,
533704,IBM Cuts Technicians' Base Pay After Lawsuit,809869,2008/1/24,Y,
533705,EXCHANGE --- BofA Settles Mortgage Litigation,349915,2022/10/8,Y,
533706,"Technology Brief -- Xerox Corp.: EPaperSign Sues on Fraud, Breach of Contract Allegations",690491,2003/9/3,Y,
533707,Amgen to Pay J&amp;J Unit in Settlement; Ortho Biotech Charged Drug Discount Offers Were Anticompetitive,744475,2008/7/14,Y,
533708,Gateway Agrees to Pay $9 Million in Settlement,470869,2000/11/1,Y,
533709,U.S. News: Facebook Seeks to Dismiss Antitrust Lawsuits,305590,2021/3/11,Y,
533710,Microsoft Strikes Activision Megadeal --- A $75 billion pact alters videogame landscape but also comes with a workplace scandal,326874,2022/1/19,Y,
533711,"Homestore, Cendant Reach a Settlement Over Move.com Deal",740421,2003/8/7,Y,
533712,Settlement Gives AlliedSignal Leverage Over Rivals B.F. Goodrich and Coltec,464735,1999/7/12,Y,
533713,Intel to Face Antitrust Charges in Europe,708151,2007/7/27,Y,
533714,Corporate News: Pfizer Settles Federal Bribery Investigation --- Drug Maker Will Pay $60.2 Million to Resolve U.S. Allegations That It Used Illegal Payoffs to Win Business Overseas,54618,2012/8/8,Y,
533715,Monsanto Acquisition Faces Extra Antitrust Scrutiny,409681,1998/6/19,Y,
533716,Business Brief -- CVS Corp.: Billing-Fraud Claims Settled With Payment of $4 Million,528323,2001/8/29,Y,
533717,Discover Settles Lawsuit With Visa and MasterCard,791804,2008/10/15,Y,
533718,Retail Brief -- Rite Aid Corp.: Ex-Chairman Settles Lawsuit Alleging False Financial Books,551057,2003/4/10,Y,
533719,"Spilling Over: Top Banks Come Under Scrutiny For Role in Parmalat Scandal; Italian Dairy Giant Claims Bank of America, Others Aided Financial Cover-Up; An Entity Called 'Black Hole'",601000,2004/9/28,Y,
533720,"`Super Mario': EU's Antitrust Czar Isn't Afraid to Say No; Just Ask Time Warner --- For U.S. Firms, Mr. Monti Quickly Becomes a Force To Be Reckoned With --- `A Believer With a Capital B'",505356,2000/10/2,Y,
533721,"Leading the News: Oracle Sweetens Bid for PeopleSoft; Offer Rises to $9.4 Billion, But Investors Remain Wary About Antitrust Problems",573565,2004/2/5,Y,
533722,"Energy Brief -- Southern Co.: Net Rose 30% in 2nd Quarter, Lifted by Contract Settlement",669629,2003/7/30,Y,
533723,Health Care Brief -- Oxford Health Plans Inc.: Net Rises 2.1% Despite Charge Related to Settlement of Suit,693929,2003/5/6,Y,
533724,Microsoft SuitMediator Rues State Antitrust Role,472486,2000/9/19,Y,
533725,"Albertson's Bidders Revive Deal Talk; Retooled $9.6 Billion Offer From Supervalu, Consortium Addresses Antitrust Worries",686193,2006/1/19,Y,
533726,Xerox Suit Alleging 3Com Violated Patent Is Dismissed by Judge,471998,2000/6/8,Y,
533727,Corporate News: States Sue Amgen Over Alleged Kickbacks Plan,783916,2009/10/31,Y,
533728,Vivendi Universal SA: Ex-Chief Accountant Settles With SEC on Fraud Charges,571817,2004/4/15,Y,
533729,World News: WTO Finds EU Aid to Airbus Is Illegal --- Report Calls Some $20 Billion in Government Loans an Improper Export Subsidy; Ruling on Boeing Expected by August,830263,2010/3/24,Y,
533730,Minnesota Attorney General Accuses U.S. Bancorp of Illegal Sales of Data,435452,1999/6/10,Y,
533731,Wal-Mart's Chinese Puzzle --- Arrests Are New Hurdle for Retailer Beset by Strategic Missteps; Which Mushrooms?,913374,2011/10/12,,
533732,GM Objects to EPA Plan To Tighten Pollution Rules,453965,1999/9/13,Y,
533733,New Yahoo Breach Hits 1 Billion Users,145735,2016/12/15,Y,
533734,Wal-Mart to Pay Settlement To Murder Victim's Family,431512,2000/2/24,Y,
533735,"Business News: Verizon Hangs Fire on Yahoo Deal --- Carrier is still studying impact of data breach, leaving $4.83 billion acquisition in limbo",151314,2017/1/6,Y,
533736,"Corporate News: Breach Plagues Home Depot --- Fighting Hacker Attack Proves Costly, Estimated Cost Will be $34 Million in 2014",96139,2014/11/19,Y,
533737,Four More Ask To Join Lawsuit Against Coca-Cola,419724,1999/12/21,Y,
533738,More Firms Disclose Family Ties After Disney's SEC Settlement,680266,2005/3/16,Y,
533739,Telecommunications Brief -- Qwest Communications: Judge Approves Settlement With Shareholders in Suit,693602,2006/10/2,Y,
533740,Global Finance: J.P. Morgan Nears SEC Settlement,3753,2012/11/7,Y,
533741,Business Brief -- Pfizer Inc.: Settlement Is Reached In Suit Against Maker Of Diabetes Drug,610628,2001/11/7,Y,
533742,Business Brief -- INTERGRAPH CORP.: Lawsuit Against Intel Hurt Second-Quarter Revenue,388701,1998/7/1,Y,
533743,"Technology &amp; Business: Scammers Find Lucrative Targets Online --- Craigslist and eBay are among the most profitable venues for swindlers, study finds",257685,2019/9/30,Y,
533744,Ex-Legal Chief At Disney Found No Ovitz Breach,611460,2004/12/2,Y,
533745,HealthSouth Fraud Hearing Is Tentatively Set for Oct. 16,557043,2003/10/2,Y,
533746,"WorldCom, Sprint Continue Antitrust Discussions",436132,2000/6/23,Y,
533747,Business News: U.S. Ventilator Antitrust Probe Focuses on Medtronic Deals,295335,2020/10/1,Y,
533748,EU Hits Microsoft With $358.3 Million Penalty; Regulators Claim Company Failed Obligation to Supply Specifications for Windows,724822,2006/7/13,Y,
533749,Lehman Insider's Letter Warned About Violating Code of Ethics --- Top Officers Were Told Firm Misled Investors on Assets; Problems in Mumbai,838890,2010/3/20,Y,
533750,Corporate News: Chinese Online Retailer Probes Data Breach --- Website Backed by Wal-Mart Joins With Public-Security Officials to Investigate Possible Theft of Customer Information,21825,2012/6/5,Y,
533751,"ConocoPhillips: Clean Air Act Suit Is Settled With Pollution Controls, Fine",690542,2005/1/28,Y,
533752,"Samsung's Offer Poses Challenges; SanDisk Bid Likely to Get Antitrust, Security Scrutiny; Buyout Structure Questioned",760876,2008/9/18,Y,
533753,Corporate News: Man Arrested In Facebook Scheme,28041,2012/10/27,Y,
533754,SBC Faces Suit Over Retirement Plans --- Pacific Telesis Employees Allege That Investments Were Improperly Sold,536661,2000/4/19,Y,
533755,Tight Races: Republican Money Can't Stave Off New Peril in Senate; Chances Rise for Democrats Controlling Both Houses As Funding Gap Narrows; Paying a Scandal Premium,654761,2006/10/14,,
533756,MBNA Faces Suit From Worker's Claim Of Sexual Harassment,495307,1999/8/23,Y,
533757,Centex Reaches Suit Settlement,500361,1999/9/13,Y,
533758,Law Journal: Justice Department Fights AMR Request in Lawsuit,50845,2013/9/30,Y,
533759,Pfizer Is Hit With Lawsuit On Lipitor Pact,437898,1999/11/30,Y,
533760,HCA Settles Criminal Charges in Medicare Fraud Case,456613,2000/12/14,Y,
533761,Corporate News: Staples Plans to Close More Stores --- Sales Slide at Office-Supply Retailer; Possible Data Breach Threatens Earnings,96166,2014/11/20,Y,
533762,"Enron's Fastow Testifies Skilling Approved Fraud; Ex-Executive Says Company Used Deals to Hide Losses, Chokes Up Over Lie to Wife",731908,2006/3/8,Y,
533763,Ford Agrees to Pay $3.8 Million to Settle Discrimination Case,589382,2000/2/22,Y,
533764,Microsoft Scores a Big Legal Victory --- Monopoly Finding Is Boon for Microsoft Opponents,480943,2001/6/29,Y,
533765,"Postal Service Defends Talks With FedEx, Insisting Antitrust Worry Is Unfounded",589364,2000/9/20,Y,
533766,MetLife Unit to Pay $19 Million In Settlement Over Commissions,781168,2006/12/30,Y,
533767,Corporate News: Deere Faces Scrutiny for Possible Bribery Violation,897166,2011/8/11,Y,
533768,"Microsoft, EU Reach a Compromise; Licensing Terms to Change As Part of Antitrust Accord, But Unresolved Issues Linger",678005,2005/6/7,Y,
533769,The Game: Insider Trading's Next Frontier --- Big Lots Suit Targets Stock-Research Firm's Methods in Digging Up Information,867851,2010/11/23,Y,
533770,The GameStop Scandal That Wasn't,316383,2021/10/20,Y,
533771,Goldman Pays Up Over Leak --- Fed unveils new accusations of wider misdeeds by former executive at firm,159184,2016/8/4,Y,
533772,Common Sense: Few Match Google; Does That Make It a Monopoly?,816571,2009/5/6,,
533773,"Credit Crunch: Citigroup May Face Auction-Rate Suit; Cuomo Threatens Charges of Fraud, Destroying Evidence",803160,2008/8/2,Y,
533774,Citigroup Fined on Research Breaches,89270,2014/11/25,Y,
533775,DOJ v. AT&amp;T Looms Over U.S. Business --- Trial over Time Warner deal has broad ramifications for antitrust enforcement across industries,224691,2018/3/16,Y,
533776,"Maytag Chooses Whirlpool, Faces Antitrust Review",653388,2005/8/15,Y,
533777,Gateway to Pay Hewlett-Packard $47 Million in Patent Settlement,637098,2006/3/2,Y,
533778,EXCHANGE --- Facebook Bug Exposed Users' Private Photos --- Apps may have had improper access to unshared images,226430,2018/12/15,Y,
533779,Auditors Face Fraud Charge --- New York Set to Allege Ernst &amp; Young Stood By as Lehman Cooked Its Books,866392,2010/12/20,Y,
533780,IBM Faces Justice Antitrust Inquiry --- Washington Steps Up Scrutiny of Tech Industry With Probe of Mainframe Market,783371,2009/10/8,Y,
533781,Corporate News: Union Sues UAL in Wake Of Settlement,851987,2010/1/22,Y,
533782,Google Inc.: Paris Court Increases Fine On Unit for Trademark Breach,725753,2006/6/29,Y,
533783,Business Brief -- USG Corp.: Board Eliminates Payout Amid Litigation Demands,466559,2001/5/10,Y,
533784,EU Weighs Deadline for Microsoft; Regulators Soon May Seek More Antitrust Compliance; Large Daily Fine Is Possible,693448,2005/3/21,Y,
533785,Ex-Program Manager At Microsoft Files Discrimination Suit,482817,2000/10/5,Y,
533786,Politics &amp; Economics: EU Investigators Urge Intel Charge; Antitrust Chief To Weigh Decision On AMD Complaint,772941,2007/1/17,Y,
533787,Business Brief -- Wal-Mart Stores Inc.: Retailer Reaches Settlement Of Clean Water Act Claims,500155,2001/6/8,Y,
533788,Polo Ralph Lauren Ex-Employees File Discrimination Suit,660545,2002/2/26,Y,
533789,Bristol-Myers Squibb Co.: Drug Company Settles Misconduct Allegations,805460,2008/7/21,Y,
